title,overview,release_date,rating,vote_count,review
My Dinner with Andre,"Wally, a struggling playwright and actor, reluctantly agrees to catch up with his old friend Andre, a theater director who disappeared several years prior in order to travel the world. Meeting at a posh Manhattan restaurant, the two share life stories, anecdotes and philosophical musings over the course of an evening meal.",1981-10-11,7.5,419,No reviews
One Piece Film: Z,"Zephyr, now known as Z, rides the seas with only one goal: Destroy all pirates and their dreams at becoming King of Pirates. When Luffy and his crew encounter him at sea, not only are they utterly defeated by the man with an arm made of Seastone, Nami, Robin, and Chopper are turned 10 years younger due to Z's minion Ain. Luffy is so determined to win against him that he does not even notice Z's master plan that could sacrifice thousands of lives.",2012-12-15,7.5,533,No reviews
Men of Honor,"Against formidable odds -- and an old-school diving instructor embittered by the U.S. Navy's new, less prejudicial policies -- Carl Brashear sets his sights on becoming the Navy's first African-American master diver in this uplifting true story. Their relationship starts out on the rocks, but fate ultimately conspires to bring the men together into a setting of mutual respect, triumph and honor.",2000-09-13,7.491,2386,Men of honor what a film it is in my top 10 films
"Play It Again, Sam","A neurotic film critic obsessed with the movie Casablanca (1942) attempts to get over his wife leaving him by dating again with the help of a married couple and his illusory idol, Humphrey Bogart.",1972-05-04,7.5,609,No reviews
The Insult,"After an emotional exchange between a Lebanese Christian and a Palestinian refugee escalates, the men end up in a court case that gets national attention.",2017-09-14,7.5,460,No reviews
Scott Pilgrim vs. the World,"As bass guitarist for a garage-rock band, Scott Pilgrim has never had trouble getting a girlfriend; usually, the problem is getting rid of them. But when Ramona Flowers skates into his heart, he finds she has the most troublesome baggage of all: an army of ex-boyfriends who will stop at nothing to eliminate him from her list of suitors.",2010-08-12,7.491,8192,"**Innovative. Unique. Quirky. Ridiculous. Fun. Edgar Wright creates a crazy, fun film with amazing style and effects that will make you laugh from start to finish.**

Scott Pilgrim vs. the World is unlike anything you have ever seen. Unique in almost every way, with its constant stream of effects "
In Cold Blood,"After a botched robbery results in the brutal murder of a rural family, two drifters elude police, in the end coming to terms with their own mortality and the repercussions of their vile atrocity.",1967-12-15,7.5,399,"This is one of those stories that really does epitomise the venality and cruelty of man! For the sum of $10,000 allegedly hidden in the safe of the rural ""Clutter"" family, two parolees come up with a plan to relieve them of their cash. ""Dick"" (Scott Wilson) is the architect of their plan. He's a nas"
The Asphalt Jungle,"Recently paroled from prison, legendary burglar ""Doc"" Riedenschneider, with funding from Alonzo Emmerich, a crooked lawyer, gathers a small group of veteran criminals together in the Midwest for a big jewel heist.",1950-05-12,7.5,503,"Experience has taught me never to trust a policeman. Just when you think one's all right, he turns legit.

Out of MGM, The Asphalt Jungle is directed by John Huston and based on the novel of the same name by W.R. Burnett. It stars Sterling Hayden, Jean Hagen, Sam Jaffe, Louis Calhern, James Whitmo"
Ed Wood,"The mostly true story of the legendary ""worst director of all time"", who, with the help of his strange friends, filmed countless B-movies without ever becoming famous or successful.",1994-09-28,7.5,2408,"**A sincere tribute to the man and his work, full of bizarreness, humor, artificial octopuses and angora.**

I've been wanting to see this for a while now, and the opportunity finally came. Very intelligently directed by Tim Burton, it is a brief biography that honors Ed Wood, reckoned as the wors"
"Cyrano, My Love","Paris, France, December 1897. The young playwright Edmond Rostand feels like a failure. Inspiration has abandoned him. Married and father of two children, desperate and penniless, he persuades the great actor Constant Coquelin to perform the main role in his new play. But there is a problem: Coquelin wants to premiere it at Christmas and Edmond has not written a single word.",2018-11-10,7.5,515,No reviews
Deadpool 2,Wisecracking mercenary Deadpool battles the evil and powerful Cable and other bad guys to save a boy's life.,2018-05-15,7.489,18596,"The Mercenary with a mouth is back with the eagerly awaited arrival of “Deadpool 2”. The films sees the generally well-meaning but highly dysfunctional Deadpool (Ryan Reynolds), back to taking out bad guys as a contract player but also managing his relationship with Vanessa (Morena Baccarin).  When "
The First Day of the Rest of Your Life,A sprawling drama centered on five key days in a family's life.,2008-07-23,7.489,489,No reviews
Back to the Future Part III,"The final installment finds Marty digging the trusty DeLorean out of a mineshaft and looking for Doc in the Wild West of 1885. But when their time machine breaks down, the travelers are stranded in a land of spurs. More problems arise when Doc falls for pretty schoolteacher Clara Clayton, and Marty tangles with Buford Tannen.",1990-05-25,7.489,11037,"Oh, I know you did send me back to the future. But I'm back! I'm back from the future.

Doc Brown is back in 1885 in the Old West, soon to be joined by Marty who has found that Doc is in mortal danger from Burford ""Mad-Dog"" Tannen.

Rounding out what turned out to be a hugely popular trilogy, Ba"
Custody,"Miriam and Antoine have recently separated. While she’s willing to permit their 17-year-old daughter Josephine to decide living arrangements for herself, Miriam is desperate to keep her youngest, 11-year-old Julien, away from his father. But the magistrate rules in favour of joint custody, and suddenly the boy is thrown directly into the middle of an escalating parental conflict, where it seems inevitable that sides must be chosen.",2018-02-07,7.5,695,No reviews
Suspiria,An American newcomer to a prestigious German ballet academy comes to realize that the school is a front for something sinister amid a series of grisly murders.,1977-02-01,7.488,3041,"There seems to be a never-ending feud between many horror fans regarding 'Suspiria', due to the fact that this film is considered Dario Argento's outstanding masterpiece. Personally, I'm completely against the idea of praising something that you don't actually like, so I respect anyone who thinks th"
The Wave,A school teacher discusses types of government with his class. His students find it too boring to repeatedly go over national socialism and believe that dictatorship cannot be established in modern Germany. He starts an experiment to show how easily the masses can become manipulated.,2008-03-13,7.487,3452,No reviews
The Double Life of Véronique,"Véronique is a beautiful young French woman who aspires to be a renowned singer; Weronika lives in Poland, has a similar career goal and looks identical to Véronique, though the two are not related. The film follows both women as they contend with the ups and downs of their individual lives, with Véronique embarking on an unusual romance with Alexandre Fabbri, a puppeteer who may be able to help her with her existential issues.",1991-05-15,7.5,836,"**A pessimistic film, somewhat negative and sad, about (maybe) two versions of the same person.**

I decided to see this film shortly after having seen the trilogy of colors, by the same director, the Polish Krzysztof Kieslowski. The theme of the film is the lives of two women, the French Veroniqu"
I Lost My Body,"A story of Naoufel, a young man who is in love with Gabrielle. In another part of town, a severed hand escapes from a dissection lab, determined to find its body again.",2019-11-06,7.486,1290,"Now that I'm looking back at the movies I watched in 2019, I realized how good this year was for movie buffs! We had fabulous movies like Jojo Rabbit, Joker, Parasite, 1917, Toy Story 4, etc. However, I wasn't that attracted to this animation. I watched it yesterday and honestly, I feel bad for not "
How to Steal a Million,A woman must steal a statue from a Paris museum to help conceal her father's art forgeries.,1966-07-13,7.5,622,"You really are the smuggest and most hateful man!

William Wyler crafts a delightfully frothy caper backed up by wonderful on screen chemistry between Peter O'Toole & Audrey Hepburn. It seems to me that Hepburn always managed to bond with her Male co-stars, and here the interplay between O'Toole a"
No Man's Land,"Two soldiers from opposite sides get stuck between the front lines in the same trench. The UN is asked to free them and both sides agree on a ceasefire, but will they stick to it?",2001-05-12,7.5,466,No reviews
Elvis,"The life story of Elvis Presley as seen through the complicated relationship with his enigmatic manager, Colonel Tom Parker.",2022-06-22,7.484,3663,"After about ten minutes, I was both exhausted and terrified. Was what I had just seen - colourful but frenetic and haphazard going to continue? Well, it does calm down - and continues to quite cleverly interweave the early years and aspirations of this young boy with the openly racist political situ"
mid90s,"In 1990s Los Angeles, a 13-year-old spends his summer navigating between a troubled home life and a crew of new friends he meets at a skate shop.",2018-10-19,7.484,1692,"""Relatable"" is a word that I see bandied about as praise of various mediums. Well let me tell you, _Mid90s_ was relatable, and it made me very uncomfortable. I like Slice of Life stuff, and I **love** Coming of Age movies, but I guess _Mid90s_ was not what I needed today. That said, it set out to do"
A Grand Day Out,"Wallace and Gromit have run out of cheese, and this provides an excellent excuse for the duo to take their holiday to the moon, where, as everyone knows, there is ample cheese.  Preserved by the Academy Film Archive.",1990-05-18,7.5,946,"We all know that the moon is made of cheese, so when ""Wallace"" and his long-suffering hound ""Gromit"" run short of their precious Wensleydale - and maybe after watching a bit of ""The Mouse on the Moon"" (1963) on the telly - they decide to build a rocket and take themselves to this Elysium of fromage."
The Suicide Squad,"Supervillains Harley Quinn, Bloodsport, Peacemaker and a collection of nutty cons at Belle Reve prison join the super-secret, super-shady Task Force X as they are dropped off at the remote, enemy-infused island of Corto Maltese.",2021-06-06,7.484,9109,"The Suicide Squad...
...stayed true to the hype of the anti-hero teams in DC.

I feel like it wasn't really a sequel but rather a reboot and ignoring the first film.
The action was insane and BLOODY brilliant, with a stellar cast. And they LITERALLY killed off the first team at the very start of"
The White Ribbon,An aged tailor recalls his life as the schoolteacher of a small village in Northern Germany that was struck by a series of strange events in the year leading up to WWI.,2009-09-24,7.5,1064,"It all starts when the local doctor (Rainer Bock) is knocked from his horse by some wire carefully strung between two trees. Incapacitated and sent to the (not so) nearby hospital, his is just the start of some fairly brutal mishaps that befall this small rural community as Europe drifts towards the"
Mind Game,"Nishi is a loser who has a crush on his childhood girlfriend. After an encounter with the Japanese mafia, he journeys to heaven and back, and ends up trapped in an even more unlikely place.",2004-08-07,7.5,300,"This anime is a chaotic, jarring, psychedelic, and philosophic masterpiece. A simultaneously simple, yet bizarre journey whose message becomes crystal clear by its end. It is a passionate and loving call to live a life of fewer regrets.

The first time I started watching it, I quit after a few min"
How the Grinch Stole Christmas!,"Bitter and hateful, the Grinch is irritated at the thought of a nearby village having a happy time celebrating Christmas. Disguised as Santa Claus, with his dog made to look like a reindeer, he decides to raid the village to steal all the Christmas things.",1966-12-18,7.483,1071,No reviews
Thesis,"While doing a thesis about violence, Ángela finds a snuff video where a girl is tortured to death. Soon she discovers that the girl was a former student at her college...",1996-04-11,7.5,880,"**A hidden gem of Spanish cinema.**

What would we do if, while preparing our doctoral or master's thesis, accidentally came across evidence of a murder? I bet with most people, the obvious thing would be to go straight to the police and hand the matter over to the professionals, right? This is no"
Bonnie and Clyde,"In the 1930s, bored waitress Bonnie Parker falls in love with an ex-con named Clyde Barrow and together they start a violent crime spree through the country, stealing cars and robbing banks.",1967-08-13,7.5,1697,"Good afternoon, we are the Barrow gang.

Bonnie & Clyde stands today as one of the most important films of the 60s, it's impact on culture alone marks it out as a piece of work to note, but as gangster films go this one is something of a landmark. Quite how writers Newman & Benton managed to craft"
Eyes Wide Shut,"After Dr. Bill Harford's wife, Alice, admits to having sexual fantasies about a man she met, Bill becomes obsessed with having a sexual encounter. He discovers an underground sexual group and attends one of their meetings -- and quickly discovers that he is in over his head.",1999-07-16,7.483,6572,"**It doesn't matter if it's Stanley Kubrick's best or worst. It's a movie that makes you think.**

Stanley Kubrick is one of those filmmakers who didn't make a lot of films. Over the course of his forty-year career, he only made thirteen feature films. Very little... However, if we look closely, a"
My Fault: London,"18-year-old Noah moves from America to London, with her mother who's recently fallen in love with William, a wealthy British businessman. Noah meets William’s son, bad-boy Nick, and soon discovers there is an attraction between them neither can avoid. As Noah spends the summer adjusting to her new life, her devastating past will catch up with her while falling in love for the first time.",2025-02-12,7.491,455,No reviews
The Seventh Continent,"Chronicles three years of a middle-class family seemingly caught up in their daily routines, troubled only by minor incidents. Behind their apparent calm and repetitive existence, however, they're planning something much more sinister.",1989-10-20,7.5,328,No reviews
"Oslo, August 31st","A recovering drug addict is granted a day’s leave from rehab and returns to Oslo, where he reconnects with friends, faces the weight of his past, and struggles with uncertainty about his future. Over the course of one day, he drifts through encounters that reflect his longing for connection and his deep sense of alienation.",2011-08-31,7.5,465,"Anders Danielsen Lie offers a really quite intense performance here as the recovering drug addict ""Anders"". His physicians think he's sufficiently improved to be able to spend a day, unsupervised, in Oslo, with family and friends and to have an interview for a job. Initially it all goes well. He dro"
Once Upon a Time in Anatolia,"A group of men lead a search for a victim of a murder to whom a suspect named Kenan and his mentally challenged brother confessed. However, the search is proving more difficult than expected as Kenan is fuzzy as to the body's location. As the group continues looking, its members can't help but chat among themselves about everyday life, which ultimately leads to conversations about their deepest existential concerns and secrets.",2011-09-23,7.5,502,"Came across this film by accident while exploring what was on the Mubi platform.  The title was super familiar but I hadn't ever watched it.
From the opening shot - you see it here on the poster - a long, wide view of car headlights driving through rolling hills - it's clear that this film doesn't "
The Devils,"In 1634 France, Urbain Grandier is a priest whose unorthodox views on sex and religion influence a passionate following of nuns, including the sexually obsessed Sister Jeanne. When power-hungry Cardinal Richelieu realizes he must eliminate Grandier to gain control of France, he portrays Grandier as a satanist and spearheads a public outcry to destroy the once-loved priest's reputation.",1971-07-16,7.5,398,No reviews
Fist of Legend,"Chen returns to his school when he finds out that his martial arts teacher has died. When he learns that his school students are harassed by some hooligans, he gears himself up to save them.",1994-12-22,7.5,566,No reviews
Gilda,"A gambler discovers an old flame while in Argentina, but she's married to his new boss.",1946-04-25,7.5,608,"Gilda is just like Casablanca if Casablanca had a happy ending, which would have been a bad idea even if it hadn’t been already done two years earlier in To Have and Have Not (which at least had Bogie in it). 

Like Casablanca, Gilda revolves around a love triangle set in a gambling establishment "
Patton,"""Patton"" tells the tale of General George S. Patton, famous tank commander of World War II. The film begins with Patton's career in North Africa and progresses through the invasion of Germany and the fall of the Third Reich. Side plots also speak of Patton's numerous faults such his temper and habit towards insubordination.",1970-01-25,7.5,1146,"I love it. God help me I do love it so. I love it more than my life. 

Patton is directed by Franklin J Schaffner and is adapted to screenplay by Francis Ford Coppola and Edmund H. North from Ladislas Farago's ""Patton: Ordeal and Triumph"" and Omar N. Bradley's ""A Soldier's Story"". It stars George "
Three Wishes for Cinderella,"Popelka, a resourceful and independent young girl, is a servant in her stepmother's house and confides in her closest friend the owl. When she comes across three magical acorns, she's granted a single wish for each one of them.",1973-11-16,7.5,357,No reviews
Lucky Number Slevin,"Slevin is mistakenly put in the middle of a personal war between the city’s biggest criminal bosses. Under constant watch, Slevin must try not to get killed by an infamous assassin and come up with an idea of how to get out of his current dilemma.",2006-02-24,7.48,4237,No reviews
The Age of Adaline,"After 29-year-old Adaline recovers from a nearly lethal accident, she inexplicably stops growing older. As the years stretch on and on, Adaline keeps her secret to herself  until she meets a man who changes her life.",2015-04-16,7.479,6885,"> The man is not ready yet for the eternal life!?

The first time when I saw the trailer, I thought it might be a female version or a close kind of 'Winter's Tale'. Though this is not a fairy tale, but a heartwarming sci-fantasy romedy. For every action in the movie they explained it very clearly,"
The Secret Life of Bees,"Set in South Carolina in 1964, this is the tale of Lily Owens a 14 year-old girl who is haunted by the memory of her late mother. To escape her lonely life and troubled relationship with her father, Lily flees with Rosaleen, her caregiver and only friend, to a South Carolina town that holds the secret to her mother's past.",2008-09-17,7.5,547,No reviews
This Is England,"A story about a troubled boy growing up in England, set in 1983. He comes across a few skinheads on his way home from school, after a fight. They become his new best friends, even like family. Based on experiences of director Shane Meadows.",2007-04-27,7.5,1329,No reviews
The Adventures of Robin Hood,Robin Hood fights nobly for justice against the evil Sir Guy of Gisbourne while striving to win the hand of the beautiful Maid Marian.,1938-05-13,7.5,798,"The Definitive Robin Hood

A classic in beautiful Technicolor with iconic fencing scenes, dastardly villains, and the definitive Robin and Marian. Mixing adventure, humor, and romance, Michael Curtiz’s film set the bar for Robin Hood movies for decades, so much so that there was a slew of Robin Ho"
Kung Fu Hustle,"It's the 1940s, and the notorious Axe Gang terrorizes Shanghai. Small-time criminals Sing and Bone hope to join, but they only manage to make lots of very dangerous enemies. Fortunately for them, kung fu masters and hidden strength can be found in unlikely places. Now they just have to take on the entire Axe Gang.",2004-02-10,7.479,2969,"Quite an experience, and in a great way as well!
 
Went into this one totally blind as to its contents, truth is, is that I was mooching round the shops yesterday and came across an Asian triple pack DVD at a bargain price, since one of the films was Jet Li starrer Unleashed, i thought it was wort"
Still Alice,"Alice Howland, happily married with three grown children, is a renowned linguistics professor who starts to forget words. When she receives a devastating diagnosis, Alice and her family find their bonds tested.",2014-12-05,7.5,3159,"'Still Alice' is a film that boasts a remarkable central performance from Julianne Moore. It tells the story of a University linguistics professor (Moore) as she is diagnosed a rare form of Auzheimer's disease.

Richard Glatzer's direction of the movie can be viewed as a parallel to his own life a"
For the Birds,"One by one, a flock of small birds perches on a telephone wire. Sitting close together has problems enough, and then comes along a large dopey bird that tries to join them. The birds of a feather can't help but make fun of him - and their clique mentality proves embarrassing in the end.",2000-11-02,7.5,1251,"Der große Vogel darf nicht zu den kleinen Vögeln auf die Stromleitung. Einfach, weil die kleinen Vögel es nicht wollen. Was auf den ersten Blick wie eine simple Animationsfilmalberei aussieht ist auf den zweiten Blick ein Plädoyer gegen Diskriminierung. Und ja, die kleinen Vögel lernen vielleicht et"
A Perfect World,"A kidnapped boy strikes up a friendship with his captor: an escaped convict on the run from the law, headed by an honorable U.S. Marshal.",1993-11-24,7.5,1740,"I'm a little split on <em>'A Perfect World'</em>, but one thing that is for certain is that I definitely enjoyed watching it.

The reason that I'm split is because of how it portrays the lead character. I completely get the angle the filmmakers were going for, I'm just not convinced they pull it o"
Letters from Iwo Jima,"The story of the battle of Iwo Jima between the United States and Imperial Japan during World War II, as told from the perspective of the Japanese who fought it.",2006-12-09,7.5,2145,"I was hoping it would entertain me as much as <em>'Flags of Our Fathers'</em> had - and I'm pleased to say it did!

I'd say that aforementioned release pips this companion piece, but the difference in quality is virtually indistinguishable - both are very good films. Ken Watanabe, Kazunari Ninomiy"
"I, Tonya","Competitive ice skater Tonya Harding rises amongst the ranks at the U.S. Figure Skating Championships, but her future in the sport is thrown into doubt when her ex-husband intervenes.",2017-12-07,7.477,5975,I had zero expectations going into this as not much is known about the movie except for the cast - and obviously the story as it was a huge news event in the 90s - but it turned out to be a wildly entertaining albeit flawed biopic. The film settled on a style and tone that falls somewhere around the
Willy Wonka & the Chocolate Factory,"When eccentric candy man Willy Wonka promises a lifetime supply of sweets and a tour of his chocolate factory to five lucky kids, penniless Charlie Bucket seeks the golden ticket that will make him a winner.",1971-06-29,7.477,3762,"Hadn't seen this one in many years, maybe last time was back in high school 20+ years ago. Delightful musical-comedy featuring the great Gene Wilder and deadpan, sarcastic humor that I immensely loved. Also the production design was excellent and musical numbers, including the catchy Oompa songs wer"
Phantom of the Paradise,"Singer-songwriter Winslow Leach seeks revenge on the nefarious music producer Swan, who steals both Winslow's music and his favorite singer for the grand opening of Swan's new rock palace, the Paradise.",1974-10-31,7.5,701,"William Finley as the eponymous character and Paul Williams as the duplicitous record producer ""Swan"" both ham up enjoyably in this update of the Gaston Leroux novel. ""Finley"" is writing a cantata, parts of which are overheard by the unscrupulous ""Swan"" who gets his sidekick ""Philbin"" (George Memmol"
Badlands,An impressionable teenage girl from a dead-end town and her older greaser boyfriend embark on a killing spree in the South Dakota badlands.,1974-01-05,7.5,1256,"Little did I realise that what began in the alleys and back ways of this quiet town would end in the Badlands of Montana.

Badlands is written and directed by Terrence Malick. It stars Martin Sheen, Sissy Spacek, Ramon Bieri and Warren Oats. Music is by George Tipton and James Taylor and cinematog"
Mulan: Rise of a Warrior,"When barbarian hordes threaten her homeland, the brave and cunning Mulan disguises herself as a male soldier to swell the ranks in her aging father's stead. The warrior's remarkable courage drives her through powerful battle scenes and brutal wartime strategy. Mulan loses dear friends to the enemy's blade as she rises to become one of her country's most valuable leaders — but can she win the war before her secret is exposed?",2009-11-26,7.5,435,No reviews
Barbie as The Princess & the Pauper,"In her first animated musical featuring seven original songs, Barbie comes to life in this modern re-telling of a classic tale of mistaken identity and the power of friendship. Based on the story by Mark Twain.",2004-09-28,7.476,1511,No reviews
Birdman of Alcatraz,"After killing a prison guard, convict Robert Stroud faces life imprisonment in solitary confinement. Driven nearly mad by loneliness and despair, Stroud's life gains new meaning when he happens upon a helpless baby sparrow in the exercise yard and nurses it back to health. Despite having only a third grade education, Stroud goes on to become a renowned ornithologist and achieves a greater sense of freedom and purpose behind bars than most people find in the outside world.",1962-07-04,7.5,322,"It's barely the start of the twentieth century when Stroud (Burt Lancaster) starts his long career in jail. He is already guilty of murder before he loses the plot with a malevolent guard and adds to his crimes. Sentenced to swing, it's only the direct intervention by his mother with the President h"
Running on Empty,"The Popes are a family who haven't been able to use their real identity for years. In the late sixties, the parents set a weapons lab afire in an effort to hinder the government's Vietnam war campaign. Ever since then, the Popes have been on the run with the authorities never far behind. Their survival is threatened when their eldest son falls in love with a girl, and announces his wish to live his life on his own terms.",1988-09-09,7.474,326,"It's a little bit long for the sole issue that the script deals with. Other than that, very well played by all the leads, and Stanley Lumet did a decent job with the limited material."
The Reader,"The story of Michael Berg, a German lawyer who, as a teenager in the late 1950s, had an affair with an older woman, Hanna, who then disappeared only to resurface years later as one of the defendants in a war crimes trial stemming from her actions as a concentration camp guard late in the war. He alone realizes that Hanna is illiterate and may be concealing that fact at the expense of her freedom.",2008-12-10,7.474,3242,"David Kross is really effective in this tale of a young boy (""Michael"") who encounters ""Hanna"" (Kate Winslet) as he shelters in her doorway from a rainstorm. In fairly short order, this fifteen year old boy becomes her lover; in return she gets him to read to her. He is soon infatuated and devastate"
Head-On,"With the intention to break free from the strict familial restrictions, a suicidal young woman sets up a marriage of convenience with a forty-year-old addict, an act that will lead to an outburst of envious love.",2004-03-11,7.474,594,No reviews
Spread Your Wings,"Christian, a visionary scientist, studies wild geese. For his son, a teenager obsessed with video games, the idea of spending a holiday with his father in the wilderness is a nightmare. However, father and son will get together around a crazy project: save a species endangered, thanks to the ultralight of Christian! Then begins an incredible and perilous journey ...",2019-09-12,7.5,313,No reviews
Little Big Man,"Jack Crabb, looking back from extreme old age, tells of his life being raised by Indians and fighting with General Custer.",1970-12-23,7.5,673,"There is an endless supply of white men. There has always been a limited number of human beings.

Little Big Man is directed by Arthur Penn and written by Calder Willingham. It stars Dustin Hoffman, Faye Dunaway, Martin Balsam, Chief Dan George and Richard Mulligan.

Arthur Penn's Little Big Man"
The Discreet Charm of the Bourgeoisie,"In Luis Buñuel’s deliciously satiric masterpiece, an upper-class sextet sits down to dinner but never eats, their attempts continually thwarted by a vaudevillian mixture of events both actual and imagined.",1972-09-15,7.5,854,"This came in the outstanding 10-DVD boxed set 'Rialto Pictures: 10 Years', one of the finest things I've bought from The Criterion Collection (and a great deal too, one I'd heartily endorse).

I had to wait an entire day, after watching the dreadful 'Disaster Movie', to get the acrid taste out of "
Carl's Date,"Carl Fredricksen reluctantly agrees to go on a date with a lady friend—but admittedly has no idea how dating works these days. Ever the helpful friend, Dug steps in to calm Carl's pre-date jitters and offer some tried-and-true tips for making friends—if you're a dog.",2023-06-15,7.5,427,"""Carl"" is a widower struggling to get back into the dating game following the death of his much loved wife. Fortunately, he has his savvy mutt ""Dug"" to help him choose his clothes and to generally get his mojo back - only this four-legged friend tends to think of things rather more in doggy terms th"
Free Guy,"A bank teller discovers he is actually a background player in an open-world video game, and decides to become the hero of his own story. Now, in a world where there are no limits, he is determined to be the guy who saves his world his way before it's too late.",2021-08-11,7.472,9249,"This is such a good movie, its got everything, a bit of sillyness, romance and action, the whole family really enjoyed it in fact the whole audience was laughing and clapping, not something you normally get in an Australian cinema. If you are debating what to watch at the cinemas watch this one its "
Mr & Mme Adelman,"How did Sarah and Victor get along for more than 45 years? Who was this enigmatic woman living in the shadow of her husband? Love, ambition, betrayals and secrets feed the story of this extraordinary couple, as they experience both the large and small moments of the last century's history.",2017-03-08,7.5,450,No reviews
Paddington 2,"Paddington, now happily settled with the Browns, picks up a series of odd jobs to buy the perfect present for his Aunt Lucy, but it is stolen.",2017-11-09,7.472,2574,"**Possibly better than its predecessor, which is no small feat.**

Charming and hilarious, with more than enough jokes for the young and the old to enjoy.  Hugh Grant is an excellent and highly comical villain, and the rest of the cast is jam packed with cameos from British notables.  A very worth"
That's Life,"Con man Aldo breaks out of jail and seizes a car at gunpoint, taking its passengers—bumbling police officer Giacomo and nitpicking civilian Giovanni—hostages. An unlikely friendship blossoms.",1998-12-18,7.5,1347,No reviews
To Have and Have Not,A Martinique charter boat skipper gets mixed up with the underground French resistance operatives during WWII.,1945-01-20,7.5,537,"""Was ya ever bit by a dead bee?""

Plot in a nutshell: An American boat captain wages war against the Nazis in Martinique, with some help along the way from his frequently drunk right-hand man, and his clever girlfriend.

Comments: Lauren Bacall is great, and very beautiful, in her debut.  It's t"
Glory,"Robert Gould Shaw leads the US Civil War's first all-black volunteer company, fighting prejudices of both his own Union army and the Confederates.",1989-12-15,7.473,1701,"And there wouldn't be nothing but rebs dyin if they'd let the fifty-fourth in it.

Based around the actual letters sent by Colonel Robert Gould Shaw to his parents, this Civil War picture tells the story of the Massachusetts 54th Regiment, the first black regiment to fight under the American flag."
The Great Silence,"A mute gunslinger fights in the defense of a group of outlaws and a vengeful young widow, against a group of ruthless bounty hunters.",1968-11-22,7.5,427,"For all I know he is the devil.

The Great Silence is directed by Sergio Corbucci and Corbucci co- writes the screenplay with Mario Amendola, Bruno Corbucci and Vittoriano Petrilli. It stars Jean-Louis Trintignant, Klaus Kinski, Frank Wolff, Luigi Pistilli, Vonetta McGee and Mario Brega. Music is "
C.R.A.Z.Y.,"A young French Canadian, one of five boys in a conservative family in the 1960s and 1970s, struggles to reconcile his emerging identity with his father's values.",2005-05-27,7.5,477,No reviews
Sympathy for Mr. Vengeance,"A deaf man and his girlfriend resort to desperate measures in order to fund a kidney transplant for his sister. Things go horribly wrong, and the situation spirals rapidly into a cycle of violence and revenge.",2002-03-29,7.471,1539,No reviews
The Devil's Advocate,"Aspiring Florida defense lawyer Kevin Lomax accepts a job at a New York law firm. With the stakes getting higher every case, Kevin quickly learns that his boss has something far more evil planned.",1997-10-17,7.471,6386,"Apparently I saw this before (had a rating on my computer program) but didn't really remember much of it. A bit uneven between a serious drama with supernatural fantasy, but I had fun with these performances by Reeves and Pacino (forgot how normal he once looked) and never a bad thing with Charlize "
Midnight Express,"Billy Hayes is caught attempting to smuggle drugs out of Turkey. The Turkish courts decide to make an example of him, sentencing him to more than 30 years in prison. Hayes has two opportunities for release: the appeals made by his lawyer, his family, and the American government, or the ""Midnight Express"".",1978-08-31,7.5,1784,"Midnight Express is a harrowing story based on true events.

Brad Davis delivers an outstanding performance with great supporting roles from John Hurt, Randy Quaid. It was an adapted Screenplay written by Oliver Stone which won him his first Oscar.

Georgia Maroda (spelling)soundtrack is really "
Waking Life,"Waking Life is about a young man in a persistent lucid dream-like state. The film follows its protagonist as he initially observes and later participates in philosophical discussions that weave together issues like reality, free will, our relationships with others, and the meaning of life.",2001-10-19,7.5,905,No reviews
The Taking of Pelham One Two Three,"In New York, armed men hijack a subway car and demand a ransom for the passengers. Even if it's paid, how could they get away?",1974-10-02,7.5,575,"Robert Shaw is great in this tensely presented heist thriller with a difference. Allied with Martin Balsam's ""Green"", Hector Elizondo as ""Grey"" and Earl Hindman's ""Brown"" they meticulously hijack a subway train and hold the city to ransom for $1 million. It falls to grizzled transit cop ""Garber"" (Wa"
Toy Story 4,"Woody has always been confident about his place in the world and that his priority is taking care of his kid, whether that's Andy or Bonnie. But when Bonnie adds a reluctant new toy called ""Forky"" to her room, a road trip adventure alongside old and new friends will show Woody how big the world can be for a toy.",2019-06-19,7.469,10139,"Rather than offering an even more potent ending, ‘Toy Story 4’ ends up being an unnecessary epilogue, offering little to enrich the overall narrative of the series and never cashing in on the actual possibilities it offers. This could have worked if it had explored a new story in the 'Toy Story' uni"
Kung Fury,"During an unfortunate series of events, a friend of Kung Fury is assassinated by the most dangerous kung fu master criminal of all time, Adolf Hitler, a.k.a Kung Führer.  Kung Fury decides to travel back in time to Nazi Germany in order to kill Hitler and end the Nazi empire once and for all.",2015-05-22,7.5,1880,"I know I shouldn't like _Kung Fury_. I know it's cheap and dumb and makes literally no sense. But it ticked so many of my appeal-boxes I absolutely cannot walk away from this with giving it anything less than three stars.
I'm glad that they didn't try to stretch this to a full ninety minute feature"
The Best of Me,A pair of former high school sweethearts reunite after many years when they return to visit their small hometown.,2014-10-15,7.468,2626,"**A failed high school romance and one more chance to fix it in the later years.**

Based on one of the Nicholas Sparks book of the same name. The story of a failed high school romance who meet again later in their lives. But the flashback comes right away after the initial segment to reveal their"
